director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title,combo
Benedek Fliegauf,Drama Romance Sci-Fi,Eva Green,Matt Smith,Hannah Murray,womb,Benedek Fliegauf Eva Green Matt Smith Hannah Murray Drama Romance Sci-Fi
James Foley,Crime Drama Mystery,Kevin Spacey,Al Pacino,Jude Ciccolella,glengarry glen ross,James Foley Kevin Spacey Al Pacino Jude Ciccolella Crime Drama Mystery
Michael Winterbottom,Crime Drama Thriller,Liam Aiken,Ned Beatty,Jay R. Ferguson,the killer inside me,Michael Winterbottom Liam Aiken Ned Beatty Jay R. Ferguson Crime Drama Thriller
Stewart Hendler,Horror Mystery,Julian Morris,Margo Harshman,Rumer Willis,sorority row,Stewart Hendler Julian Morris Margo Harshman Rumer Willis Horror Mystery
John Cromwell,Adventure Drama Romance,David Niven,Mary Astor,Ronald Colman,the prisoner of zenda,John Cromwell David Niven Mary Astor Ronald Colman Adventure Drama Romance
Craig Gillespie,Comedy Drama Romance,Ryan Gosling,Kelli Garner,Paul Schneider,lars and the real girl,Craig Gillespie Ryan Gosling Kelli Garner Paul Schneider Comedy Drama Romance
Mark Herman,Drama War,Richard Johnson,Sheila Hancock,Cara Horgan,the boy in the striped pajamas,Mark Herman Richard Johnson Sheila Hancock Cara Horgan Drama War
Lars von Trier,Crime Drama Musical,Catherine Deneuve,Udo Kier,Björk,dancer in the dark,Lars von Trier Catherine Deneuve Udo Kier Björk Crime Drama Musical
Gillian Armstrong,Drama Romance,Tom Wilkinson,Richard Roxburgh,Clive Russell,oscar and lucinda,Gillian Armstrong Tom Wilkinson Richard Roxburgh Clive Russell Drama Romance
Abel Ferrara,Crime Drama,Isabella Rossellini,Vincent Gallo,Gretchen Mol,the funeral,Abel Ferrara Isabella Rossellini Vincent Gallo Gretchen Mol Crime Drama
Brian Koppelman,Comedy Drama Romance,Jenna Fischer,David Costabile,Richard Schiff,solitary man,Brian Koppelman Jenna Fischer David Costabile Richard Schiff Comedy Drama Romance
Ethan Maniquis,Action Crime Thriller,Robert De Niro,Don Johnson,Cheech Marin,machete,Ethan Maniquis Robert De Niro Don Johnson Cheech Marin Action Crime Thriller
George Hickenlooper,Biography Comedy Crime Drama,Kevin Spacey,Eric Schweig,Christian Campbell,casino jack,George Hickenlooper Kevin Spacey Eric Schweig Christian Campbell Biography Comedy Crime Drama
Don Bluth,Adventure Animation Family,Judith Barsi,Gabriel Damon,Bill Erwin,the land before time,Don Bluth Judith Barsi Gabriel Damon Bill Erwin Adventure Animation Family
Je-kyu Kang,Action Drama War,Min-sik Choi,Bin Won,Dong-gun Jang,tae guk gi: the brotherhood of war,Je-kyu Kang Min-sik Choi Bin Won Dong-gun Jang Action Drama War
William Dear,Comedy Drama Family Sport,Clifton Collins Jr.,Cheech Marin,Bruce McGill,the perfect game,William Dear Clifton Collins Jr. Cheech Marin Bruce McGill Comedy Drama Family Sport
William Friedkin,Horror,Ellen Burstyn,Linda Blair,Lee J. Cobb,the exorcist,William Friedkin Ellen Burstyn Linda Blair Lee J. Cobb Horror
Steven Spielberg,Adventure Drama Thriller,Roy Scheider,Robert Shaw,Murray Hamilton,jaws,Steven Spielberg Roy Scheider Robert Shaw Murray Hamilton Adventure Drama Thriller
Paul Weitz,Comedy,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,american pie,Paul Weitz Alyson Hannigan Shannon Elizabeth Natasha Lyonne Comedy
Stéphane Aubier,Animation Comedy Crime Drama Family,Mackenzie Foy,Megan Mullally,Lambert Wilson,ernest & celestine,Stéphane Aubier Mackenzie Foy Megan Mullally Lambert Wilson Animation Comedy Crime Drama Family
Michael Ritchie,Action Adventure Comedy Fantasy Mystery,Victor Wong,Randall 'Tex' Cobb,Charlotte Lewis,the golden child,Michael Ritchie Victor Wong Randall 'Tex' Cobb Charlotte Lewis Action Adventure Comedy Fantasy Mystery
Tim Story,Comedy Romance,Chris Brown,Romany Malco,Regina Hall,think like a man,Tim Story Chris Brown Romany Malco Regina Hall Comedy Romance
Tim Story,Comedy Drama,Sean Patrick Thomas,Jason George,Cedric the Entertainer,barbershop,Tim Story Sean Patrick Thomas Jason George Cedric the Entertainer Comedy Drama
Nicholas Meyer,Action Adventure Sci-Fi,Leonard Nimoy,Kirstie Alley,Nichelle Nichols,star trek ii: the wrath of khan,Nicholas Meyer Leonard Nimoy Kirstie Alley Nichelle Nichols Action Adventure Sci-Fi
Tom Shadyac,Comedy,Sean Young,Udo Kier,David Margulies,ace ventura: pet detective,Tom Shadyac Sean Young Udo Kier David Margulies Comedy
John Badham,Sci-Fi Thriller,Matthew Broderick,Barry Corbin,Ally Sheedy,wargames,John Badham Matthew Broderick Barry Corbin Ally Sheedy Sci-Fi Thriller
Peter Weir,Crime Drama Romance Thriller,Harrison Ford,Viggo Mortensen,Lukas Haas,witness,Peter Weir Harrison Ford Viggo Mortensen Lukas Haas Crime Drama Romance Thriller
Mike McCoy,Action Adventure Drama Thriller War,Alex Veadov,Jason Cottle,Rorke Denver,act of valor,Mike McCoy Alex Veadov Jason Cottle Rorke Denver Action Adventure Drama Thriller War
Anne Fletcher,Crime Drama Music Romance,Channing Tatum,Alyson Stoner,Josh Henderson,step up,Anne Fletcher Channing Tatum Alyson Stoner Josh Henderson Crime Drama Music Romance
Mike Judge,Adventure Animation Comedy Crime,Bruce Willis,Demi Moore,John Doman,beavis and butt-head do america,Mike Judge Bruce Willis Demi Moore John Doman Adventure Animation Comedy Crime
Quentin Tarantino,Crime Thriller,Robert De Niro,Sid Haig,Robert Forster,jackie brown,Quentin Tarantino Robert De Niro Sid Haig Robert Forster Crime Thriller
Jon Hurwitz,Adventure Comedy,Danneel Ackles,Eric Winter,Beverly D'Angelo,harold & kumar escape from guantanamo bay,Jon Hurwitz Danneel Ackles Eric Winter Beverly D'Angelo Adventure Comedy
Josh Trank,Drama Sci-Fi Thriller,Michael Kelly,Alex Russell,Ashley Hinshaw,chronicle,Josh Trank Michael Kelly Alex Russell Ashley Hinshaw Drama Sci-Fi Thriller
Barbra Streisand,Drama Musical Romance,Miriam Margolyes,Amy Irving,Steven Hill,yentl,Barbra Streisand Miriam Margolyes Amy Irving Steven Hill Drama Musical Romance
Terry Gilliam,Adventure Comedy Fantasy Sci-Fi,Shelley Duvall,Michael Palin,Kenny Baker,time bandits,Terry Gilliam Shelley Duvall Michael Palin Kenny Baker Adventure Comedy Fantasy Sci-Fi
Nima Nourizadeh,Comedy Crime,Dax Flame,Kirby Bliss Blanton,Oliver Cooper,project x,Nima Nourizadeh Dax Flame Kirby Bliss Blanton Oliver Cooper Comedy Crime
Franklin J. Schaffner,Biography Drama War,George C. Scott,Karl Malden,Bill Hickman,patton,Franklin J. Schaffner George C. Scott Karl Malden Bill Hickman Biography Drama War
Mark Romanek,Drama Thriller,Robin Williams,Gary Cole,Connie Nielsen,one hour photo,Mark Romanek Robin Williams Gary Cole Connie Nielsen Drama Thriller
John Erick Dowdle,Horror Sci-Fi Thriller,Andrew Fiscella,Jay Hernandez,Dania Ramirez,quarantine,John Erick Dowdle Andrew Fiscella Jay Hernandez Dania Ramirez Horror Sci-Fi Thriller
David Moreau,Horror Mystery,Chloë Grace Moretz,Alessandro Nivola,Obba Babatundé,the eye,David Moreau Chloë Grace Moretz Alessandro Nivola Obba Babatundé Horror Mystery
Christopher Erskin,Comedy,Vanessa Williams,Shannon Elizabeth,Shad Moss,johnson family vacation,Christopher Erskin Vanessa Williams Shannon Elizabeth Shad Moss Comedy
Jesse Dylan,Comedy Fantasy,Hector Elizondo,Fred Willard,T.J. Thyne,how high,Jesse Dylan Hector Elizondo Fred Willard T.J. Thyne Comedy Fantasy
Brian Henson,Comedy Drama Family Fantasy Musical,Steven Mackintosh,Jerry Nelson,Steve Whitmire,the muppet christmas carol,Brian Henson Steven Mackintosh Jerry Nelson Steve Whitmire Comedy Drama Family Fantasy Musical
Martin Campbell,Action Adventure Thriller,Eva Green,Tobias Menzies,Ivana Milicevic,casino royale,Martin Campbell Eva Green Tobias Menzies Ivana Milicevic Action Adventure Thriller
Julie Taymor,Biography Drama Romance,Salma Hayek,Roger Rees,Valeria Golino,frida,Julie Taymor Salma Hayek Roger Rees Valeria Golino Biography Drama Romance
Dan Cutforth,Documentary Music,Lexie Contursi,Ashley Ashida Dixon,Anthony Burrell,katy perry: part of me,Dan Cutforth Lexie Contursi Ashley Ashida Dixon Anthony Burrell Documentary Music
Josh Boone,Drama Romance,Shailene Woodley,Sam Trammell,Nat Wolff,the fault in our stars,Josh Boone Shailene Woodley Sam Trammell Nat Wolff Drama Romance
John Dahl,Crime Drama,Matt Damon,Martin Landau,Gretchen Mol,rounders,John Dahl Matt Damon Martin Landau Gretchen Mol Crime Drama
Chris Rock,Comedy Romance,Rosario Dawson,Romany Malco,J.B. Smoove,top five,Chris Rock Rosario Dawson Romany Malco J.B. Smoove Comedy Romance
John Frankenheimer,Horror Sci-Fi,Talia Shire,Richard Dysart,Robert Foxworth,prophecy,John Frankenheimer Talia Shire Richard Dysart Robert Foxworth Horror Sci-Fi
David Koepp,Horror Mystery Thriller,Illeana Douglas,Kathryn Erbe,Lusia Strus,stir of echoes,David Koepp Illeana Douglas Kathryn Erbe Lusia Strus Horror Mystery Thriller
unknown,Action Adventure Biography Drama History,Peter Mensah,Kelvin Taylor,Viva Bianca,spartacus: war of the damned            ,unknown Peter Mensah Kelvin Taylor Viva Bianca Action Adventure Biography Drama History
Stephen Frears,Biography Drama,Steve Coogan,Mare Winningham,Peter Hermann,philomena,Stephen Frears Steve Coogan Mare Winningham Peter Hermann Biography Drama
Mike Binder,Comedy Drama,Alicia Witt,Erika Christensen,Joan Allen,the upside of anger,Mike Binder Alicia Witt Erika Christensen Joan Allen Comedy Drama
Franklin J. Schaffner,Drama Thriller,Laurence Olivier,Anne Meara,Steve Guttenberg,the boys from brazil,Franklin J. Schaffner Laurence Olivier Anne Meara Steve Guttenberg Drama Thriller
Elizabeth Allen Rosenbaum,Comedy Family Fantasy Romance,Tammin Sursok,Joanna 'JoJo' Levesque,Dichen Lachman,aquamarine,Elizabeth Allen Rosenbaum Tammin Sursok Joanna 'JoJo' Levesque Dichen Lachman Comedy Family Fantasy Romance
Jake Schreier,Drama Mystery Romance,Nat Wolff,Cara Delevingne,Meg Crosbie,paper towns,Jake Schreier Nat Wolff Cara Delevingne Meg Crosbie Drama Mystery Romance
Cheryl Dunye,Comedy,Michael Imperioli,Marsha Thomason,Bai Ling,my baby's daddy,Cheryl Dunye Michael Imperioli Marsha Thomason Bai Ling Comedy
Alexander Payne,Adventure Comedy Drama,Devin Ratray,Bruce Dern,Will Forte,nebraska,Alexander Payne Devin Ratray Bruce Dern Will Forte Adventure Comedy Drama
Ernest R. Dickerson,Action Fantasy Horror Thriller,CCH Pounder,Jada Pinkett Smith,Gary Farmer,tales from the crypt: demon knight,Ernest R. Dickerson CCH Pounder Jada Pinkett Smith Gary Farmer Action Fantasy Horror Thriller
Tim Hill,Comedy Crime Family,Noel Fisher,Amber Valletta,Larry Miller,max keeble's big move,Tim Hill Noel Fisher Amber Valletta Larry Miller Comedy Crime Family
Jason Reitman,Comedy Drama,Charlize Theron,Patton Oswalt,Collette Wolfe,young adult,Jason Reitman Charlize Theron Patton Oswalt Collette Wolfe Comedy Drama
Mark Neveldine,Action Crime Thriller,Jason Statham,Edi Gathegi,Jose Pablo Cantillo,crank,Mark Neveldine Jason Statham Edi Gathegi Jose Pablo Cantillo Action Crime Thriller
Lionel C. Martin,Comedy,Bernie Mac,Gilbert Gottfried,Lark Voorhies,how to be a player,Lionel C. Martin Bernie Mac Gilbert Gottfried Lark Voorhies Comedy
Richard LaGravenese,Comedy Drama Romance,Holly Hunter,Eddie Cibrian,Jenette Goldstein,living out loud,Richard LaGravenese Holly Hunter Eddie Cibrian Jenette Goldstein Comedy Drama Romance
Sanaa Hamri,Comedy Romance Sport,Common,Laz Alonso,Mehcad Brooks,just wright,Sanaa Hamri Common Laz Alonso Mehcad Brooks Comedy Romance Sport
Jonathan Demme,Drama Romance,Anne Hathaway,Rosemarie DeWitt,Bill Irwin,rachel getting married,Jonathan Demme Anne Hathaway Rosemarie DeWitt Bill Irwin Drama Romance
Bob Rafelson,Crime Drama Romance Thriller,Anjelica Huston,Michael Lerner,John Colicos,the postman always rings twice,Bob Rafelson Anjelica Huston Michael Lerner John Colicos Crime Drama Romance Thriller
Peter Webber,Biography Drama Romance,Scarlett Johansson,Colin Firth,Tom Wilkinson,girl with a pearl earring,Peter Webber Scarlett Johansson Colin Firth Tom Wilkinson Biography Drama Romance
Wolfgang Petersen,Adventure Drama Thriller War,Jürgen Prochnow,Martin Semmelrogge,Herbert Grönemeyer,das boot,Wolfgang Petersen Jürgen Prochnow Martin Semmelrogge Herbert Grönemeyer Adventure Drama Thriller War
John Lee Hancock,Drama History War Western,Dennis Quaid,Marc Blucas,Jordi Mollà,the alamo,John Lee Hancock Dennis Quaid Marc Blucas Jordi Mollà Drama History War Western
Wallace Wolodarsky,Comedy,Heather Matarazzo,Barry Watson,Harland Williams,sorority boys,Wallace Wolodarsky Heather Matarazzo Barry Watson Harland Williams Comedy
Richard Curtis,Drama Fantasy Romance,Tom Hughes,Tom Hollander,Lindsay Duncan,about time,Richard Curtis Tom Hughes Tom Hollander Lindsay Duncan Drama Fantasy Romance
Yimou Zhang,Action Adventure Drama Romance,Takeshi Kaneshiro,Andy Lau,Zhengyong Zhang,house of flying daggers,Yimou Zhang Takeshi Kaneshiro Andy Lau Zhengyong Zhang Action Adventure Drama Romance
Nicholas Jarecki,Drama Thriller,Nate Parker,Curtiss Cook,Reg E. Cathey,arbitrage,Nicholas Jarecki Nate Parker Curtiss Cook Reg E. Cathey Drama Thriller
Dean Israelite,Sci-Fi Thriller,Gary Weeks,Jonny Weston,Sofia Black-D'Elia,project almanac,Dean Israelite Gary Weeks Jonny Weston Sofia Black-D'Elia Sci-Fi Thriller
Darnell Martin,Biography Drama Music,Cedric the Entertainer,Veronika Dash,Tammy Blanchard,cadillac records,Darnell Martin Cedric the Entertainer Veronika Dash Tammy Blanchard Biography Drama Music
Scott Alexander,Comedy Crime,Sarah Silverman,Dave Chappelle,Sherman Hemsley,screwed,Scott Alexander Sarah Silverman Dave Chappelle Sherman Hemsley Comedy Crime
Stuart Gordon,Action Crime Sci-Fi Thriller,Christopher Lambert,Kurtwood Smith,Clifton Collins Jr.,fortress,Stuart Gordon Christopher Lambert Kurtwood Smith Clifton Collins Jr. Action Crime Sci-Fi Thriller
Christopher Guest,Comedy,John Michael Higgins,Catherine O'Hara,Ed Begley Jr.,for your consideration,Christopher Guest John Michael Higgins Catherine O'Hara Ed Begley Jr. Comedy
Woody Allen,Comedy Drama,Melanie Griffith,Aleksa Palladino,Greg Mottola,celebrity,Woody Allen Melanie Griffith Aleksa Palladino Greg Mottola Comedy Drama
Ryan Murphy,Comedy Drama,Jill Clayburgh,Joseph Cross,Dagmara Dominczyk,running with scissors,Ryan Murphy Jill Clayburgh Joseph Cross Dagmara Dominczyk Comedy Drama
Robert Iscove,Comedy Musical Romance,Anika Noni Rose,Kelly Clarkson,Brian Dietzen,from justin to kelly,Robert Iscove Anika Noni Rose Kelly Clarkson Brian Dietzen Comedy Musical Romance
Spike Lee,Comedy Drama,Michael Imperioli,Debi Mazar,Gretchen Mol,girl 6,Spike Lee Michael Imperioli Debi Mazar Gretchen Mol Comedy Drama
Jane Campion,Mystery Thriller,Jennifer Jason Leigh,Nick Damici,Susan Gardner,in the cut,Jane Campion Jennifer Jason Leigh Nick Damici Susan Gardner Mystery Thriller
James Gray,Drama Romance,Isabella Rossellini,Vinessa Shaw,Samantha Ivers,two lovers,James Gray Isabella Rossellini Vinessa Shaw Samantha Ivers Drama Romance
Fred Schepisi,Drama,Bob Hoskins,Ray Winstone,JJ Feild,last orders,Fred Schepisi Bob Hoskins Ray Winstone JJ Feild Drama
Joon-ho Bong,Comedy Drama Horror Sci-Fi,Doona Bae,Kang-ho Song,Ah-sung Ko,the host,Joon-ho Bong Doona Bae Kang-ho Song Ah-sung Ko Comedy Drama Horror Sci-Fi
Roger Spottiswoode,Adventure Crime Thriller,Robert Duvall,Treat Williams,Paul Gleason,the pursuit of d.b. cooper,Roger Spottiswoode Robert Duvall Treat Williams Paul Gleason Adventure Crime Thriller
Antonia Bird,Fantasy Horror Thriller,Jeremy Davies,Jeffrey Jones,David Arquette,ravenous,Antonia Bird Jeremy Davies Jeffrey Jones David Arquette Fantasy Horror Thriller
Jon Poll,Comedy Drama Romance,Robert Downey Jr.,Megan Park,Hope Davis,charlie bartlett,Jon Poll Robert Downey Jr. Megan Park Hope Davis Comedy Drama Romance
Paolo Sorrentino,Drama,Toni Servillo,Sabrina Ferilli,Serena Grandi,the great beauty,Paolo Sorrentino Toni Servillo Sabrina Ferilli Serena Grandi Drama
Peter Care,Comedy Drama,Kieran Culkin,Michael Harding,Jake Richardson,the dangerous lives of altar boys,Peter Care Kieran Culkin Michael Harding Jake Richardson Comedy Drama
Chan-wook Park,Drama Thriller,Mia Wasikowska,Alden Ehrenreich,Harmony Korine,stoker,Chan-wook Park Mia Wasikowska Alden Ehrenreich Harmony Korine Drama Thriller
Kar-Wai Wong,Drama Romance Sci-Fi,Li Gong,Tony Chiu Wai Leung,Maggie Cheung,2046,Kar-Wai Wong Li Gong Tony Chiu Wai Leung Maggie Cheung Drama Romance Sci-Fi
Ira Sachs,Crime Drama Romance,David Richmond-Peck,Erin Boyes,Timothy Webber,married life,Ira Sachs David Richmond-Peck Erin Boyes Timothy Webber Crime Drama Romance
Carroll Ballard,Adventure Drama Family,Eamonn Walker,Hope Davis,Campbell Scott,duma,Carroll Ballard Eamonn Walker Hope Davis Campbell Scott Adventure Drama Family
Neil Jordan,Drama Mystery Romance,Tony Curran,Stephen Rea,Alicja Bachleda,ondine,Neil Jordan Tony Curran Stephen Rea Alicja Bachleda Drama Mystery Romance
Takeshi Kitano,Crime Drama Thriller,Omar Epps,Tatyana Ali,James Shigeta,brother,Takeshi Kitano Omar Epps Tatyana Ali James Shigeta Crime Drama Thriller
Anthony Russo,Comedy Crime,Michael Jeter,Isaiah Washington,Andy Davoli,welcome to collinwood,Anthony Russo Michael Jeter Isaiah Washington Andy Davoli Comedy Crime
Sidney Lumet,Comedy Drama,Kyra Sedgwick,Anne Bancroft,Albert Brooks,critical care,Sidney Lumet Kyra Sedgwick Anne Bancroft Albert Brooks Comedy Drama
Vadim Perelman,Drama Mystery Thriller,Eva Amurri Martino,Lynn Cohen,Brett Cullen,the life before her eyes,Vadim Perelman Eva Amurri Martino Lynn Cohen Brett Cullen Drama Mystery Thriller
Lawrence Kasdan,Comedy Drama Romance,Dianne Wiest,Mark Duplass,Sam Shepard,darling companion,Lawrence Kasdan Dianne Wiest Mark Duplass Sam Shepard Comedy Drama Romance
Marco Kreuzpaintner,Crime Drama Thriller,Zack Ward,Kate del Castillo,Alicja Bachleda,trade,Marco Kreuzpaintner Zack Ward Kate del Castillo Alicja Bachleda Crime Drama Thriller
Lajos Koltai,Drama Romance War,Marcell Nagy,Péter Fancsikai,Bálint Péntek,fateless,Lajos Koltai Marcell Nagy Péter Fancsikai Bálint Péntek Drama Romance War
Alan Rudolph,Comedy,Bruce Willis,Albert Finney,Omar Epps,breakfast of champions,Alan Rudolph Bruce Willis Albert Finney Omar Epps Comedy
Vincenzo Natali,Mystery Romance Sci-Fi Thriller,David Hewlett,Jeremy Northam,Kari Matchett,cypher,Vincenzo Natali David Hewlett Jeremy Northam Kari Matchett Mystery Romance Sci-Fi Thriller
Chuan Lu,Drama History War,Ye Liu,Yuanyuan Gao,Ryu Kohata,city of life and death,Chuan Lu Ye Liu Yuanyuan Gao Ryu Kohata Drama History War
Lijun Sun,Action Adventure Animation Comedy Family,Jon Heder,Tom Arnold,Rebecca Black,legend of kung fu rabbit,Lijun Sun Jon Heder Tom Arnold Rebecca Black Action Adventure Animation Comedy Family
Takashi Yamazaki,Action Adventure Drama Sci-Fi,Takuya Kimura,Meisa Kuroki,Hiroyuki Ikeuchi,space battleship yamato,Takashi Yamazaki Takuya Kimura Meisa Kuroki Hiroyuki Ikeuchi Action Adventure Drama Sci-Fi
Renny Harlin,Action Drama War,Richard Coyle,Kenneth Cranham,Ana Imnadze,5 days of war,Renny Harlin Richard Coyle Kenneth Cranham Ana Imnadze Action Drama War
Christopher Smith,Fantasy Mystery Thriller,Rachael Carpani,Michael Dorman,Emma Lung,triangle,Christopher Smith Rachael Carpani Michael Dorman Emma Lung Fantasy Mystery Thriller
Timothy Hines,Drama,Christopher Lambert,Kelly LeBrock,Alexandra Callas,10 days in a madhouse,Timothy Hines Christopher Lambert Kelly LeBrock Alexandra Callas Drama
Randall Wallace,Biography Drama,Jacob Vargas,Connor Corum,Rob Moran,heaven is for real,Randall Wallace Jacob Vargas Connor Corum Rob Moran Biography Drama
David Winters,Family Musical,Gary Daniels,Matt Marr,Ginger Jensen,dancin' it's on,David Winters Gary Daniels Matt Marr Ginger Jensen Family Musical
Mary Lambert,Fantasy Horror,Miko Hughes,Fred Gwynne,Denise Crosby,pet sematary,Mary Lambert Miko Hughes Fred Gwynne Denise Crosby Fantasy Horror
Akira Kurosawa,Drama,Tatsuo Matsumura,Tetsu Watanabe,Akira Terao,madadayo,Akira Kurosawa Tatsuo Matsumura Tetsu Watanabe Akira Terao Drama
Jamie Thraves,Drama Thriller,Paddy Considine,Caroline Dhavernas,Charlotte Sullivan,the cry of the owl,Jamie Thraves Paddy Considine Caroline Dhavernas Charlotte Sullivan Drama Thriller
Mabel Cheung,Drama,Wei Tang,Ching Wan Lau,Hailu Qin,a tale of three cities,Mabel Cheung Wei Tang Ching Wan Lau Hailu Qin Drama
Joe Dante,Comedy Fantasy Horror,Phoebe Cates,Harry Carey Jr.,Zach Galligan,gremlins,Joe Dante Phoebe Cates Harry Carey Jr. Zach Galligan Comedy Fantasy Horror
George Lucas,Action Adventure Fantasy Sci-Fi,Harrison Ford,Peter Cushing,Kenny Baker,star wars: episode iv - a new hope,George Lucas Harrison Ford Peter Cushing Kenny Baker Action Adventure Fantasy Sci-Fi
Dan Mazer,Comedy,Robert De Niro,Zoey Deutch,Jason Mantzoukas,dirty grandpa,Dan Mazer Robert De Niro Zoey Deutch Jason Mantzoukas Comedy
David Lean,Drama Romance War,Julie Christie,Klaus Kinski,Geraldine Chaplin,doctor zhivago,David Lean Julie Christie Klaus Kinski Geraldine Chaplin Drama Romance War
Stephen Daldry,Adventure Crime Drama Mystery Thriller,Wagner Moura,Selton Mello,Daniel Zettel,trash,Stephen Daldry Wagner Moura Selton Mello Daniel Zettel Adventure Crime Drama Mystery Thriller
Kenny Ortega,Comedy Drama Family Music Musical Romance,Lucas Grabeel,Matt Prokop,Corbin Bleu,high school musical 3: senior year,Kenny Ortega Lucas Grabeel Matt Prokop Corbin Bleu Comedy Drama Family Music Musical Romance
David O. Russell,Biography Drama Sport,Christian Bale,Jack McGee,Melissa McMeekin,the fighter,David O. Russell Christian Bale Jack McGee Melissa McMeekin Biography Drama Sport
Jeff Tremaine,Action Comedy Documentary,Bam Margera,Steve-O,Chris Pontius,jackass number two,Jeff Tremaine Bam Margera Steve-O Chris Pontius Action Comedy Documentary
Jonathan Lynn,Comedy Crime,Fred Gwynne,Bruce McGill,Lane Smith,my cousin vinny,Jonathan Lynn Fred Gwynne Bruce McGill Lane Smith Comedy Crime
R.J. Cutler,Drama Fantasy Music Romance,Chloë Grace Moretz,Mireille Enos,Stacy Keach,if i stay,R.J. Cutler Chloë Grace Moretz Mireille Enos Stacy Keach Drama Fantasy Music Romance
Brian Trenchard-Smith,Action Comedy Crime,Zoe Ventoura,Damien Garvey,Christopher Sommers,drive hard,Brian Trenchard-Smith Zoe Ventoura Damien Garvey Christopher Sommers Action Comedy Crime
David S. Ward,Comedy Sport,Corbin Bernsen,Tom Berenger,Rene Russo,major league,David S. Ward Corbin Bernsen Tom Berenger Rene Russo Comedy Sport
Oliver Parker,Comedy,Lily Cole,Rupert Everett,Tamsin Egerton,st. trinian's,Oliver Parker Lily Cole Rupert Everett Tamsin Egerton Comedy
Joel Schumacher,Crime Thriller,Radha Mitchell,John Enos III,Richard T. Jones,phone booth,Joel Schumacher Radha Mitchell John Enos III Richard T. Jones Crime Thriller
Adam Shankman,Drama Romance,Lauren German,Peter Coyote,Paz de la Huerta,a walk to remember,Adam Shankman Lauren German Peter Coyote Paz de la Huerta Drama Romance
Tim Robbins,Crime Drama,Lois Smith,Celia Weston,Robert Prosky,dead man walking,Tim Robbins Lois Smith Celia Weston Robert Prosky Crime Drama
Roger Kumble,Drama Romance,Sarah Michelle Gellar,Sean Patrick Thomas,Eric Mabius,cruel intentions,Roger Kumble Sarah Michelle Gellar Sean Patrick Thomas Eric Mabius Drama Romance
Kevin Greutert,Horror Mystery,Costas Mandylor,Shawnee Smith,George Newbern,saw vi,Kevin Greutert Costas Mandylor Shawnee Smith George Newbern Horror Mystery
Gina Prince-Bythewood,Drama,Nate Parker,Alicia Keys,Jennifer Hudson,the secret life of bees,Gina Prince-Bythewood Nate Parker Alicia Keys Jennifer Hudson Drama
Rob Pritts,Comedy Crime,Vincent Pastore,Vinessa Shaw,Peter Berg,corky romano,Rob Pritts Vincent Pastore Vinessa Shaw Peter Berg Comedy Crime
Brian De Palma,Crime Drama Thriller,Steven Bauer,Gabrielle Carteris,Gregg Henry,raising cain,Brian De Palma Steven Bauer Gabrielle Carteris Gregg Henry Crime Drama Thriller
Norman Jewison,Drama,Sylvester Stallone,Peter Boyle,Rod Steiger,f.i.s.t.,Norman Jewison Sylvester Stallone Peter Boyle Rod Steiger Drama
Tobe Hooper,Horror Sci-Fi,Louise Fletcher,Bud Cort,William Bassett,invaders from mars,Tobe Hooper Louise Fletcher Bud Cort William Bassett Horror Sci-Fi
John Crowley,Drama Romance,Julie Walters,Fiona Glascott,Eva Birthistle,brooklyn,John Crowley Julie Walters Fiona Glascott Eva Birthistle Drama Romance
Stanley Kubrick,Adventure Drama History War,Ryan O'Neal,Steven Berkoff,Hardy Krüger,barry lyndon,Stanley Kubrick Ryan O'Neal Steven Berkoff Hardy Krüger Adventure Drama History War
Brendan Malloy,Comedy Sport,Lee Majors,Jason London,Thomas Lennon,out cold,Brendan Malloy Lee Majors Jason London Thomas Lennon Comedy Sport
Reginald Hudlin,Comedy,Will Ferrell,John Witherspoon,Tim Meadows,the ladies man,Reginald Hudlin Will Ferrell John Witherspoon Tim Meadows Comedy
Dustin Hoffman,Comedy Drama,Luke Newberry,Sheridan Smith,Pauline Collins,quartet,Dustin Hoffman Luke Newberry Sheridan Smith Pauline Collins Comedy Drama
Gregory Poirier,Comedy,Shannon Elizabeth,Jake Busey,David Ogden Stiers,tomcats,Gregory Poirier Shannon Elizabeth Jake Busey David Ogden Stiers Comedy
Bill Paxton,Crime Drama Thriller,Matthew McConaughey,Powers Boothe,Matt O'Leary,frailty,Bill Paxton Matthew McConaughey Powers Boothe Matt O'Leary Crime Drama Thriller
Simon Curtis,Biography Drama History,Ryan Reynolds,Frances Fisher,Elizabeth McGovern,woman in gold,Simon Curtis Ryan Reynolds Frances Fisher Elizabeth McGovern Biography Drama History
Bill Condon,Biography Drama,Liam Neeson,Oliver Platt,Dylan Baker,kinsey,Bill Condon Liam Neeson Oliver Platt Dylan Baker Biography Drama
Sam Raimi,Comedy Fantasy Horror,Patricia Tallman,Bridget Fonda,Embeth Davidtz,army of darkness,Sam Raimi Patricia Tallman Bridget Fonda Embeth Davidtz Comedy Fantasy Horror
Dewey Nicks,Comedy Romance,Jaime King,Gedde Watanabe,Jim Rash,slackers,Dewey Nicks Jaime King Gedde Watanabe Jim Rash Comedy Romance
