director_name,genres,actor_1_name,actor_2_name,actor_3_name,movie_title
Thomas Bezucha,Comedy Drama Romance,Craig T. Nelson,Paul Schneider,Tyrone Giordano,the family stone
Kevin Rodney Sullivan,Comedy Drama,Harry Lennix,Sean Patrick Thomas,Kenan Thompson,barbershop 2: back in business
Terry Zwigoff,Comedy Crime Drama,Bernie Mac,Tony Cox,Alex Borstein,bad santa
Jay Roach,Comedy Crime,Will Ferrell,Charles Napier,Robert Wagner,austin powers: international man of mystery
Kirk Jones,Comedy Family Romance,Nia Vardalos,Louis Mandylor,Joey Fatone,my big fat greek wedding 2
David Bowers,Comedy Family,Zachary Gordon,Rachael Harris,Fran Kranz,diary of a wimpy kid: rodrick rules
John McTiernan,Action Horror Sci-Fi,Shane Black,Bill Duke,Carl Weathers,predator
Milos Forman,Biography Drama History Music,Jeffrey Jones,F. Murray Abraham,Tom Hulce,amadeus
Nelson McCormick,Horror Mystery,Ming-Na Wen,Scott Porter,Collins Pennie,prom night
Mark Waters,Comedy,Tina Fey,Amy Poehler,Neil Flynn,mean girls
Audrey Wells,Comedy Drama Romance,Raoul Bova,Lindsay Duncan,Mario Monicelli,under the tuscan sun
Robert Altman,Drama Mystery,Kristin Scott Thomas,Bob Balaban,Tom Hollander,gosford park
unknown,Comedy Drama Romance,Peter Gallagher,Melinda Clarke,Tate Donovan,the o.c.            
Francis Ford Coppola,Comedy Drama Fantasy Romance,Nicolas Cage,Kathleen Turner,Joan Allen,peggy sue got married
Alejandro G. Iñárritu,Comedy Drama Romance,Emma Stone,Naomi Watts,Merritt Wever,birdman or (the unexpected virtue of ignorance)
Woody Allen,Drama,Sally Hawkins,Charlie Tahan,Andrew Dice Clay,blue jasmine
Paul Greengrass,Drama History Thriller,Christian Clemenson,David Alan Basche,Susan Blommaert,united 93
Bille Woodruff,Drama Music Romance,Christian Monzon,Mekhi Phifer,Romeo Miller,honey
Edward Zwick,Drama History War,Denzel Washington,Morgan Freeman,Matthew Broderick,glory
Rick Friedberg,Action Comedy,Hulk Hogan,Barry Bostwick,Nicollette Sheridan,spy hard
John Carpenter,Fantasy Horror,Jamie Lee Curtis,Hal Holbrook,Janet Leigh,the fog
Sean McNamara,Biography Drama Family Sport,Dennis Quaid,Chris Brochu,Craig T. Nelson,soul surfer
Mike Nichols,Comedy Drama War,Bob Newhart,Bob Balaban,Martin Balsam,catch-22
Jody Hill,Comedy Crime Drama,Collette Wolfe,Celia Weston,Dan Bakkedahl,observe and report
Richard Fleischer,Action Adventure Fantasy,Mako,Olivia d'Abo,Grace Jones,conan the destroyer
Martin Scorsese,Biography Drama Sport,Robert De Niro,Cathy Moriarty,Frank Vincent,raging bull
Brandon Camp,Drama Romance,Judy Greer,Sasha Alexander,Frances Conroy,love happens
Barry Levinson,Adventure Fantasy Mystery Thriller,Nicholas Rowe,Roger Ashton-Griffiths,Freddie Jones,young sherlock holmes
Kevin Tancharoen,Comedy Drama Musical Romance,Kelsey Grammer,Kay Panabaker,Megan Mullally,fame
Danny Boyle,Adventure Biography Drama Thriller,James Franco,Treat Williams,Kate Burton,127 hours
Woody Allen,Comedy Crime,Woody Allen,Jon Lovitz,Michael Rapaport,small time crooks
Nicholas Hytner,Drama Music Romance,Amanda Schull,Susan May Pratt,Ethan Stiefel,center stage
Jessie Nelson,Comedy,Olivia Wilde,Alex Borstein,Timothée Chalamet,love the coopers
Bart Freundlich,Comedy Crime,Kristen Stewart,Corbin Bleu,Kevin G. Schmidt,catch that kid
Irwin Winkler,Drama,Ian Somerhalder,Hayden Christensen,Kristin Scott Thomas,life as a house
Danny Boyle,Biography Drama,Kate Winslet,Michael Fassbender,Michael Stuhlbarg,steve jobs
Chris Columbus,Comedy Romance,Alan Ruck,Marie Avgeropoulos,Shawn Roberts,"i love you, beth cooper"
Miguel Arteta,Comedy Drama Romance,Steve Buscemi,Ari Graynor,Fred Willard,youth in revolt
William A. Fraker,Action Adventure Western,Jason Robards,Richard Farnsworth,Michael Horse,the legend of the lone ranger
John Boorman,Drama Thriller,Daniel Radcliffe,Jamie Lee Curtis,Mark Margolis,the tailor of panama
Brian De Palma,Mystery Thriller,Nancy Allen,Dennis Franz,John McMartin,blow out
Courtney Solomon,Action Crime Thriller,Rebecca Budig,Paul Freeman,Bruce Payne,getaway
Ang Lee,Drama,Joan Allen,Kate Burton,Henry Czerny,the ice storm
Rob Reiner,Comedy Drama Romance,Yaya DaCosta,Annie Parisse,Frankie Valli,and so it goes
Jeff Kanew,Adventure Comedy,Craig T. Nelson,Shelley Long,Kellie Martin,troop beverly hills
István Szabó,Comedy Drama Romance,Miriam Margolyes,Shaun Evans,Juliet Stevenson,being julia
Adrian Lyne,Drama Romance,David Margulies,Karen Young,Kim Chan,9½ weeks
Matthew Robbins,Action Adventure Fantasy,Ian McDiarmid,Ralph Richardson,Albert Salmi,dragonslayer
Michael Hoffman,Biography Drama Romance,David Masterson,Kerry Condon,Anne-Marie Duff,the last station
Tim Burton,Biography Comedy Drama,Johnny Depp,Bill Murray,Martin Landau,ed wood
Jason Reitman,Drama,J.K. Simmons,Kate Winslet,Brooke Smith,labor day
Sergey Bodrov,Adventure Biography Drama History War,Tadanobu Asano,Khulan Chuluun,Honglei Sun,mongol: the rise of genghis khan
Guy Ritchie,Action Crime Thriller,Tom Hardy,Gerard Butler,Tom Wilkinson,rocknrolla
Hal Needham,Action Sci-Fi,Barry Bostwick,Michael Beck,Henry Silva,megaforce
Kenneth Branagh,Drama,Julie Christie,Brian Blessed,Richard Briers,hamlet
Bruce Beresford,Biography Drama Music Romance,Bruce Greenwood,Suzie Steen,Aden Young,mao's last dancer
Jeff Nichols,Adventure Drama Sci-Fi Thriller,Kirsten Dunst,Sam Shepard,Paul Sparks,midnight special
Woody Allen,Comedy Romance,Woody Allen,Stockard Channing,Fisher Stevens,anything else
Jonathan Teplitzky,Biography Drama Romance War,Jeremy Irvine,Colin Firth,Sam Reid,the railway man
unknown,Drama Mystery,Poppy Montgomery,Dylan Walsh,Dallas Roberts,unforgettable            
Michael Haneke,Drama Mystery,Ulrich Tukur,Burghart Klaußner,Leonie Benesch,the white ribbon
Zack Ward,Horror,Zack Ward,Anna Harr,James Cullen Bressack,restoration
Mike Marvin,Action Horror Romance Sci-Fi Thriller,Clint Howard,Randy Quaid,Nick Cassavetes,the wraith
D.J. Caruso,Crime Drama Mystery Thriller,Adam Goldberg,Meat Loaf,Anthony LaPaglia,the salton sea
Nimród Antal,Music,James Hetfield,Mackenzie Gray,Lars Ulrich,metallica through the never
Gregor Jordan,Crime Drama Thriller,Austin Nichols,Brad Renfro,Lou Taylor Pucci,the informers
unknown,Biography Crime Drama Thriller,Edgar Ramírez,Nora von Waldstätten,Katharina Schüttler,carlos            
Tran Anh Hung,Thriller,Takuya Kimura,Simón Andreu,Shawn Yue,i come with the rain
Lance Hool,Action Drama History Romance War Western,Tom Berenger,Joaquim de Almeida,Mark Moses,one man's hero
George A. Romero,Horror,Greg Nicotero,John Amplas,Joseph Pilato,day of the dead
Chuck Russell,Action Crime Drama Thriller,Sam Trammell,Rebecca De Mornay,Amanda Schull,i am wrath
Christian Volckman,Action Animation Sci-Fi Thriller,Romola Garai,Catherine McCormack,Kevork Malikyan,renaissance
Jon Cassar,Drama Western,Demi Moore,Landon Liboiron,Michael Wincott,forsaken
Richard Fleischer,Action Adventure Fantasy,Ernie Reyes Jr.,Brigitte Nielsen,Sandahl Bergman,red sonja
Rodrigo Cortés,Drama Horror Mystery Thriller,Robert De Niro,Toby Jones,Craig Roberts,red lights
Greg Mottola,Comedy,Emma Stone,Joe Lo Truglio,Kevin Corrigan,superbad
Tyler Perry,Comedy Crime Drama,Vanessa Ferlito,Keshia Knight Pulliam,Derek Luke,madea goes to jail
David Hayter,Action Horror,Jason Momoa,Jennifer Hale,Stephen McHattie,wolves
Jon M. Chu,Drama Music Musical Romance,Cassie Ventura,Mari Koda,Luis Rosado,step up 2: the streets
Cory Edwards,Action Animation Comedy Crime Family,Anne Hathaway,Chazz Palminteri,Jim Belushi,hoodwinked!
Terry George,Drama History War,Don Cheadle,Sophie Okonedo,Hakeem Kae-Kazim,hotel rwanda
Xavier Gens,Action Crime Drama Thriller,Henry Ian Cusick,Dougray Scott,Ulrich Thomsen,hitman
Kasi Lemmons,Drama Family Music Musical,Jennifer Hudson,Mary J. Blige,Vondie Curtis-Hall,black nativity
Brian A Miller,Action Thriller,Bruce Willis,50 Cent,Jessica Lowndes,the prince
Matt Dillon,Crime Drama Thriller,Kirk Fox,Shawn Andrews,Rob Campbell,city of ghosts
Alejandro Amenábar,Fantasy Horror Thriller,Fionnula Flanagan,Elaine Cassidy,Eric Sykes,the others
James Cameron,Action Adventure Sci-Fi,Michael Biehn,Carrie Henn,Jenette Goldstein,aliens
George Cukor,Drama Family Musical Romance,Jeremy Brett,Rex Harrison,Theodore Bikel,my fair lady
Jim Gillespie,Horror Mystery Thriller,Muse Watson,Sarah Michelle Gellar,Anne Heche,i know what you did last summer
Luke Greenfield,Comedy,Rob Riggle,Damon Wayans Jr.,James D'Arcy,let's be cops
Alexander Payne,Adventure Comedy Drama Romance,Virginia Madsen,Patrick Gallagher,M.C. Gainey,sideways
Jay Chandrasekhar,Comedy,Chris Moss,Owain Yeoman,Jay Chandrasekhar,beerfest
John Carpenter,Horror Thriller,Jamie Lee Curtis,Donald Pleasence,P.J. Soles,halloween
Yimou Zhang,Action Adventure History,Jet Li,Tony Chiu Wai Leung,Maggie Cheung,hero
John Hoffman,Comedy Drama Family Fantasy Sci-Fi,Liam Aiken,Molly Shannon,Kevin Nealon,good boy!
Malcolm D. Lee,Comedy Drama,Harold Perrineau,Sanaa Lathan,Eddie Cibrian,the best man holiday
Joe Carnahan,Action Crime Drama Thriller,Ryan Reynolds,Common,Alex Rocco,smokin' aces
Kevin Greutert,Horror Mystery,Costas Mandylor,Gina Holden,Betsy Russell,saw 3d: the final chapter
Michael Lehmann,Comedy Romance,Emmanuelle Vaugier,Vinessa Shaw,Paulo Costanzo,40 days and 40 nights
Joseph Kosinski,Action Adventure Sci-Fi,Jeff Bridges,Olivia Wilde,James Frain,tron: legacy
John Fortenberry,Comedy Music Romance,Will Ferrell,Chris Kattan,Dan Hedaya,a night at the roxbury
Daniel Barnz,Drama Fantasy Romance,Alex Pettyfer,Mary-Kate Olsen,Erik Knudsen,beastly
Alexandre Aja,Horror,Dan Byrd,Greg Nicotero,Vinessa Shaw,the hills have eyes
Sam Weisman,Comedy,Kevin Grevioux,Jenna Boyd,Mary McCormack,dickie roberts: former child star
Niki Caro,Biography Drama Sport,Morgan Saylor,Valente Rodriguez,Diana Maria Riva,"mcfarland, usa"
Erik White,Comedy,Brandon T. Jackson,Loretta Devine,Shad Moss,lottery ticket
Chris Robinson,Comedy Crime Drama Music Romance,T.I.,Adam Boyer,Malika,atl
Jason Moore,Comedy Music Romance,Anna Kendrick,Hana Mae Lee,Ben Platt,pitch perfect
Michael Tollin,Comedy Drama Romance Sport,Marc Blucas,Brian Dennehy,Bruce Davison,summer catch
Sam Raimi,Crime Drama Thriller,Gary Cole,Bridget Fonda,Chelcie Ross,a simple plan
Robert Harmon,Horror Mystery Thriller,Alexander Gould,Ethan Embry,Marc Blucas,they
Trent Cooper,Comedy Romance,Thomas F. Wilson,Larry the Cable Guy,Megyn Price,larry the cable guy: health inspector
Gary Halvorson,Adventure Comedy Family Fantasy Musical,Vanessa Williams,Kevin Clash,Caroll Spinney,the adventures of elmo in grouchland
Antoine Fuqua,Crime Drama Thriller,Don Cheadle,Lili Taylor,Armando Riesco,brooklyn's finest
Nicholas Ray,Action Adventure Drama History War,Ava Gardner,David Niven,John Ireland,55 days at peking
Fede Alvarez,Horror,Lou Taylor Pucci,Elizabeth Blackmore,Ellen Sandweiss,evil dead
Donald Petrie,Comedy Romance,Nia Vardalos,Harland Williams,Rachel Dratch,my life in ruins
Paul Weitz,Comedy Music,Judy Greer,Dennis Quaid,Chris Klein,american dreamz
Sidney J. Furie,Action Adventure Family Sci-Fi,Jim Broadbent,Margot Kidder,William Hootkins,superman iv: the quest for peace
Ian Iqbal Rashid,Drama,DeRay Davis,Clé Bennett,Conrad Coates,how she move
Wayne Kramer,Action Crime Drama Thriller,Paul Walker,Chazz Palminteri,Ivana Milicevic,running scared
Rowdy Herrington,Biography Drama Romance Sport,Aidan Quinn,Jeremy Northam,Paul Freeman,bobby jones: stroke of genius
Jim Goddard,Adventure Crime Drama Romance,Victor Wong,Paul Freeman,Clyde Kusatsu,shanghai surprise
Neil Burger,Drama Mystery Romance Thriller,Rufus Sewell,Eddie Marsan,Jake Wood,the illusionist
Noel Marshall,Adventure Horror Thriller,Tippi Hedren,Melanie Griffith,Zakes Mokae,roar
Joel Schumacher,Biography Crime Drama Thriller,Brenda Fricker,David Murray,Gerard McSorley,veronica guerin
Andrea Di Stefano,Crime Drama Romance Thriller,Josh Hutcherson,Brady Corbet,Carlos Bardem,escobar: paradise lost
Richard Kelly,Comedy Mystery Sci-Fi Thriller,Janeane Garofalo,Curtis Armstrong,Chris Andrew Ciulla,southland tales
Guillaume Ivernel,Adventure Animation Family Fantasy,Rob Paulsen,Jess Harnell,Mary Mouser,dragon hunters
Jack Smight,Sci-Fi,George Peppard,Jan-Michael Vincent,Paul Winfield,damnation alley
Todd Lincoln,Horror Thriller,Julianna Guill,Rick Gomez,Tim Williams,the apparition
Howard Zieff,Comedy Drama Family Romance,Macaulay Culkin,Jamie Lee Curtis,Griffin Dunne,my girl
Steven Shainberg,Biography Drama Romance,Robert Downey Jr.,Ty Burrell,Matt Servitto,fur: an imaginary portrait of diane arbus
Neil Burger,Drama Mystery Romance Thriller,Rufus Sewell,Eddie Marsan,Jake Wood,the illusionist
Oliver Stone,Crime Drama,Hal Holbrook,Tamara Tunie,James Karen,wall street
Ang Lee,Drama Romance,Alan Rickman,Kate Winslet,Tom Wilkinson,sense and sensibility
Julian Jarrold,Biography Drama Romance,Anne Hathaway,Julie Walters,Laurence Fox,becoming jane
Joe Nussbaum,Comedy Romance,Danny Strong,Matt Long,Samm Levine,sydney white
Vadim Perelman,Drama,Frances Fisher,Kim Dickens,Ron Eldard,house of sand and fog
Peter Weir,Comedy Drama,Robin Williams,Josh Charles,Kurtwood Smith,dead poets society
Peter Farrelly,Comedy,Lauren Holly,Mike Starr,Teri Garr,dumb & dumber
Rob Reiner,Comedy Drama Romance,Bruno Kirby,Gretchen Palmer,Harley Jane Kozak,when harry met sally...
Sidney Lumet,Drama,Charlotte Rampling,James Mason,Jack Warden,the verdict
Todd Phillips,Comedy,Ethan Suplee,Rachel Blanchard,Paulo Costanzo,road trip
Brian Robbins,Comedy Drama Romance Sport,Paul Walker,Ron Lester,Mark Walters,varsity blues
Michel Hazanavicius,Comedy Drama Romance,Bérénice Bejo,Ed Lauter,Beth Grant,the artist
David S. Goyer,Drama Fantasy Horror Mystery Thriller,Gary Oldman,Atticus Shaffer,Rachel Brosnahan,the unborn
Wes Anderson,Adventure Comedy Drama Romance,Bruce Willis,Bill Murray,Bob Balaban,moonrise kingdom
Jonathan Liebesman,Horror,Matt Bomer,Jordana Brewster,Lew Temple,the texas chainsaw massacre: the beginning
Cyrus Nowrasteh,Drama,Clive Russell,Vincent Walsh,Finn Ireland,the young messiah
Perry Andelin Blake,Comedy Family,Jennifer Esposito,Kenan Thompson,James Brolin,the master of disguise
Guillermo del Toro,Drama Fantasy War,Ivana Baquero,Maribel Verdú,Sergi López,pan's labyrinth
unknown,Drama Fantasy Mystery Thriller,Joel Courtney,Jessika Van,Riley Smith,the messengers            
John Whitesell,Action Comedy Crime Family,Leslie Bibb,Angus T. Jones,Paul Sorvino,see spot run
John Singleton,Crime Drama Romance Thriller,Mo'Nique,Snoop Dogg,Angell Conwell,baby boy
Christian E. Christiansen,Drama Horror Thriller,Leighton Meester,Danneel Ackles,Frances Fisher,the roommate
Dennie Gordon,Adventure Comedy Drama,Brittany Daniel,Erik Per Sullivan,Fred Ward,joe dirt
Sheldon Lettich,Action Crime,Bolo Yeung,Alonna Shaw,Kamel Krifa,double impact
Edgar Wright,Action Comedy Mystery,Bill Bailey,Joe Cornish,Billie Whitelaw,hot fuzz
Diane English,Comedy Drama,Jada Pinkett Smith,Debi Mazar,Debra Messing,the women
Woody Allen,Drama Romance,Scarlett Johansson,Kevin Dunn,Christopher Evan Welch,vicky cristina barcelona
Peter Flinth,Action Adventure Drama Romance War,Gustaf Skarsgård,Michael Nyqvist,Vincent Perez,arn: the knight templar
Jon Lucas,Comedy,Mila Kunis,Jay Hernandez,Jada Pinkett Smith,bad moms
Robert Iscove,Comedy Drama Romance,Alyson Hannigan,Amanda Detmer,Tsianina Joelson,boys and girls
Peter Kosminsky,Drama,Patrick Fugit,Cole Hauser,Marc Donato,white oleander
Karyn Kusama,Comedy Fantasy Horror,J.K. Simmons,Amy Sedaris,Cynthia Stevenson,jennifer's body
Nick Gomez,Comedy Crime Mystery,Will Ferrell,Jamie Lee Curtis,Tracey Walter,drowning mona
Woody Allen,Comedy,Mike Starr,Don Pardo,Julie Kavner,radio days
Vic Armstrong,Action Drama Fantasy Mystery Thriller,Nicolas Cage,Lea Thompson,Quinton Aaron,left behind
Allen Coulter,Drama Romance,Robert Pattinson,Lena Olin,Ruby Jerins,remember me
Clare Kilner,Comedy Drama Romance,Dylan Baker,Alexandra Holden,Trent Ford,how to deal
Richard Benjamin,Comedy Romance Sci-Fi,Jon Lovitz,Alyson Hannigan,Tony Jay,my stepmother is an alien
Jonathan Demme,Drama,Denzel Washington,Tom Hanks,Jason Robards,philadelphia
Josef Rusnak,Mystery Sci-Fi Thriller,Gretchen Mol,Craig Bierko,Brad William Henke,the thirteenth floor
Lance Rivera,Comedy,Farrah Fawcett,Vincent Pastore,Jenifer Lewis,the cookout
Ronald Neame,Action Drama Sci-Fi Thriller,Martin Landau,Karl Malden,Brian Keith,meteor
Bruce Paltrow,Comedy Drama Music,Lochlyn Munro,Marian Seldes,Huey Lewis,duets
Woody Allen,Comedy Romance,Woody Allen,Debra Messing,Treat Williams,hollywood ending
Adam Rifkin,Comedy Music,Natasha Lyonne,Lin Shaye,Shannon Tweed,detroit rock city
Russell Mulcahy,Action Adventure Fantasy,Christopher Lambert,Jon Polito,Celia Imrie,highlander
Susanne Bier,Drama,Alison Lohman,Omar Benson Miller,Robin Weigert,things we lost in the fire
Kenneth Johnson,Action Crime Sci-Fi,Charles Napier,Annabeth Gish,Hill Harper,steel
James Gray,Drama Romance,Jeremy Renner,Dagmara Dominczyk,Angela Sarafyan,the immigrant
James Ivory,Drama History Romance War,Vanessa Redgrave,Natasha Richardson,Lynn Redgrave,the white countess
Danny Boyle,Crime Drama Mystery Thriller,Rosario Dawson,Spencer Wilding,Tuppence Middleton,trance
Jessy Terrero,Comedy,Mo'Nique,Snoop Dogg,Tom Arnold,soul plane
Dany Boon,Comedy Romance,Dany Boon,Kad Merad,Michel Galabru,welcome to the sticks
Vicente Amorim,Drama Romance War,Viggo Mortensen,Jodie Whittaker,Steven Mackintosh,good
Gaspar Noé,Drama Fantasy,Paz de la Huerta,Emily Alyn Lind,Olly Alexander,enter the void
Amy Heckerling,Comedy Horror Romance,Taylor Negron,Justin Kirk,Ivan Sergei,vamps
Lasse Hallström,Drama Family,Cary-Hiroyuki Tagawa,Sarah Roemer,Joan Allen,hachi: a dog's tale
Jérôme Salle,Crime Drama Thriller,Orlando Bloom,Tanya van Graan,Conrad Kemp,zulu
Tommy Lee Jones,Drama Western,Barry Corbin,Tim Blake Nelson,Miranda Otto,the homesman
Jesse Vaughan,Comedy Drama Romance Sport,Vivica A. Fox,Jenifer Lewis,Kevin Pollak,juwanna mann
unknown,Comedy Crime Drama,Steven Van Zandt,Trond Fausa,Tommy Karlsen,lilyhammer            
Atom Egoyan,Drama War,David Alpay,Marie-Josée Croze,Charles Aznavour,ararat
William Bindley,Drama Sport,Bruce Dern,Jake Lloyd,William Shockley,madison
Wayne Beach,Drama Mystery Thriller,Mekhi Phifer,LL Cool J,Fisher Stevens,slow burn
Gérard Krawczyk,Action Comedy Crime Drama Thriller,Carole Bouquet,Ryôko Hirosue,Michel Muller,wasabi
James Gunn,Comedy Horror Sci-Fi,Dustin Milligan,Gregg Henry,Tania Saulnier,slither
Martin Brest,Action Comedy Crime,Judge Reinhold,Ronny Cox,James Russo,beverly hills cop
Chris Columbus,Comedy Family,Macaulay Culkin,Devin Ratray,Catherine O'Hara,home alone
Leonard Nimoy,Comedy Drama Family,Tom Selleck,Ted Danson,Steve Guttenberg,3 men and a baby
Sydney Pollack,Comedy Drama Romance,Bill Murray,Sydney Pollack,Teri Garr,tootsie
Tony Scott,Action Drama Romance,Tom Cruise,Tom Skerritt,Adrian Pasdar,top gun
Ang Lee,Action Drama Romance,Chen Chang,Pei-Pei Cheng,Sihung Lung,"crouching tiger, hidden dragon"
Sam Mendes,Drama,Kevin Spacey,Peter Gallagher,Ara Celi,american beauty
Tom Hooper,Biography Drama History Romance,Colin Firth,Jennifer Ehle,Derek Jacobi,the king's speech
Ivan Reitman,Comedy Crime,Kelly Preston,Tony Jay,Hugh O'Brian,twins
unknown,Crime Drama Horror Mystery Thriller,Bex Taylor-Klaus,Bobby Campo,Jason Wiles,scream: the tv series            
Udayan Prasad,Drama Romance,Kristen Stewart,Eddie Redmayne,William Hurt,the yellow handkerchief
Steven Spielberg,Drama,Oprah Winfrey,Rae Dawn Chong,Dana Ivey,the color purple
JK Youn,Action Comedy Drama Thriller,Nicole Dionne,Ji-won Ha,Kyung-gu Sol,tidal wave
Timur Bekmambetov,Adventure Drama History,Morgan Freeman,Ayelet Zurer,Moises Arias,ben-hur
Morten Tyldum,Biography Drama Thriller War,Benedict Cumberbatch,Rory Kinnear,Allen Leech,the imitation game
Howard Zieff,Comedy War,Eileen Brennan,Albert Brooks,Alan Oppenheimer,private benjamin
Michael Apted,Biography Drama Music Musical,Sissy Spacek,Beverly D'Angelo,Levon Helm,coal miner's daughter
Thor Freudenthal,Comedy Family,Chloë Grace Moretz,Zachary Gordon,Rachael Harris,diary of a wimpy kid
Andrés Muschietti,Fantasy Horror,Javier Botet,Megan Charpentier,Isabelle Nélisse,mama
John Carpenter,Horror Thriller,Jamie Lee Curtis,Donald Pleasence,P.J. Soles,halloween
Harold Ramis,Adventure Comedy,Beverly D'Angelo,Randy Quaid,Jane Krakowski,national lampoon's vacation
Jeff Tremaine,Comedy,Jackson Nicoll,Georgina Cates,Grasie Mercedes,bad grandpa
Stephen Frears,Biography Drama,Roger Allam,Sylvia Syms,Alex Jennings,the queen
Tim Burton,Comedy Fantasy,Catherine O'Hara,Jeffrey Jones,Glenn Shadix,beetlejuice
Tyler Perry,Comedy Drama,Michael Jai White,Tasha Smith,Lamman Rucker,why did i get married?
Gillian Armstrong,Drama Family Romance,Christian Bale,Kirsten Dunst,Eric Stoltz,little women
James Watkins,Drama Fantasy Horror Thriller,Daniel Radcliffe,Roger Allam,Jessica Raine,the woman in black
Simon West,Horror Thriller,Madeline Carroll,Tessa Thompson,Brian Geraghty,when a stranger calls
Shawn Levy,Adventure Comedy Family,Frankie Muniz,Donald Faison,Lee Majors,big fat liar
Michael Cimino,Drama War,Robert De Niro,Meryl Streep,John Savage,the deer hunter
Barry Levinson,Comedy Drama,Robert De Niro,Kirsten Dunst,John Michael Higgins,wag the dog
Jim Fall,Adventure Comedy Family Music Romance,Clayton Snyder,Adam Lamberg,Alex Borstein,the lizzie mcguire movie
Ric Roman Waugh,Action Drama Thriller,Dwayne Johnson,Harold Perrineau,Nadine Velazquez,snitch
Michael Dougherty,Comedy Fantasy Horror,Adam Scott,Conchata Ferrell,Allison Tolman,krampus
Robert Rodriguez,Horror Mystery Sci-Fi,Jordana Brewster,Salma Hayek,Clea DuVall,the faculty
Brian Gibson,Biography Drama Music,Rae'Ven Kelly,Virginia Capers,Dororthy Thorton,what's love got to do with it
James Mangold,Crime Drama Thriller,Robert De Niro,Sylvester Stallone,Janeane Garofalo,cop land
Joel Gallen,Comedy,Chris Evans,JoAnna Garcia Swisher,Mia Kirshner,not another teen movie
David Ayer,Crime Drama Thriller,Jake Gyllenhaal,Anna Kendrick,America Ferrera,end of watch
Cameron Crowe,Comedy Drama Romance,Emma Stone,Bradley Cooper,Bill Murray,aloha
Rob Cohen,Action Crime Drama Thriller,Paul Walker,Leslie Bibb,William Petersen,the skulls
James Marsh,Biography Drama Romance,Eddie Redmayne,Emily Watson,Simon McBurney,the theory of everything
John Whitesell,Comedy Crime,Greg Grunberg,Regina Hall,Blair Underwood,malibu's most wanted
Matt Williams,Comedy Drama Romance,Natalie Portman,James Frain,Stockard Channing,where the heart is
David Lean,Adventure Biography Drama History War,Claude Rains,José Ferrer,Jack Hawkins,lawrence of arabia
Rob Zombie,Horror,Scout Taylor-Compton,Tyler Mane,Margot Kidder,halloween ii
Jean-Marc Vallée,Adventure Biography Drama,Michiel Huisman,Kevin Rankin,Gaby Hoffmann,wild
Dennis Iliadis,Crime Horror Thriller,Tony Goldwyn,Monica Potter,Martha MacIsaac,the last house on the left
Clare Kilner,Comedy Romance,Jack Davenport,Debra Messing,Holland Taylor,the wedding date
Rick Rosenthal,Comedy Horror Thriller,Jamie Lee Curtis,Thomas Ian Nicholas,Bianca Kajlich,halloween: resurrection
Louis Leterrier,Action Adventure Fantasy,Liam Neeson,Jason Flemyng,Alexa Davalos,clash of the titans
Rob Reiner,Adventure Family Fantasy Romance,Robin Wright,Carol Kane,André the Giant,the princess bride
Denzel Washington,Biography Drama,Denzel Washington,Jurnee Smollett-Bell,John Heard,the great debaters
Nicolas Winding Refn,Crime Drama,Ryan Gosling,Albert Brooks,Russ Tamblyn,drive
Sara Sugarman,Comedy Family Music Romance,Adam Garcia,Carol Kane,Glenne Headly,confessions of a teenage drama queen
Nicholas Hytner,Comedy Drama Romance,Liam Aiken,Tim Daly,Kali Rocha,the object of my affection
Juan Carlos Fresnadillo,Drama Horror Sci-Fi,Jeremy Renner,Harold Perrineau,Catherine McCormack,28 weeks later
Thomas Carter,Drama Family Sport,Jessie T. Usher,Matthew Daddario,Ser'Darius Blain,when the game stands tall
Wayne Wang,Comedy Drama Family,Cicely Tyson,Luke Benward,Eva Marie Saint,because of winn-dixie
Gina Prince-Bythewood,Drama Romance Sport,Alfre Woodard,Sanaa Lathan,Omar Epps,love & basketball
George Armitage,Action Comedy Crime Romance Thriller,Minnie Driver,Michael Cudlitz,Mitchell Ryan,grosse pointe blank
Phil Traill,Comedy Romance,Bradley Cooper,Katy Mixon,Beth Grant,all about steve
Joe Berlinger,Adventure Fantasy Horror Mystery Thriller,Kim Director,Erica Leerhsen,Kurt Loder,book of shadows: blair witch 2
Andrew Fleming,Drama Fantasy Horror Thriller,Christine Taylor,Rachel True,Brenda Strong,the craft
Woody Allen,Drama Romance Thriller,Scarlett Johansson,Mark Gatiss,Penelope Wilton,match point
Elizabeth Allen Rosenbaum,Adventure Comedy Family Fantasy,Sierra McCormick,Hutch Dano,Jason Spevack,ramona and beezus
James Ivory,Drama Romance,Anthony Hopkins,Peter Vaughan,Ben Chaplin,the remains of the day
Paul Thomas Anderson,Drama,Don Cheadle,Nicole Ari Parker,Nina Hartley,boogie nights
Robert Harmon,Action Crime Drama Romance Thriller,Kieran Culkin,Rosanna Arquette,Joss Ackland,nowhere to run
Michael Mayer,Adventure Drama Family,Alison Lohman,Danny Pino,Tim McGraw,flicka
Martin Weisz,Horror,Jeff Kober,Daniella Alonso,Jacob Vargas,the hills have eyes ii
John Ottman,Horror Mystery Thriller,Loretta Devine,Joey Lawrence,Jacinda Barrett,urban legends: final cut
Jay Russell,Drama Family Fantasy Romance,William Hurt,Sissy Spacek,Jonathan Jackson,tuck everlasting
